model_id,family,parameters,size_category,status,mqs_score,grade,certified_tier,last_certified,g1,g2,g3,g4,tps_gguf_cpu,tps_gguf_gpu,tps_apr_cpu,tps_apr_gpu,tps_st_cpu,tps_st_gpu,provenance_verified,kernel_proof_ref
Qwen/QwQ-32B,qwen,32B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-0.6B,qwen3,0.6B,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:01:08.693016541+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-1.7B,qwen3,1.7B,small,CERTIFIED,964,A,mvp,2026-02-13T03:05:06.034848217+00:00,false,false,false,false,,,,,,,false,
Qwen/Qwen3-4B,qwen3,4B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:23:41.991306736+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-8B,qwen3,8B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-14B,qwen3,14B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-32B,qwen3,32B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-30B-A3B,qwen3-moe,30B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
Qwen/Qwen3-Coder-30B-A3B-Instruct,qwen3-coder-moe,30B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
meta-llama/Llama-3.2-1B-Instruct,llama,1B,small,PENDING,0,-,none,2026-01-31T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/Llama-3.2-3B-Instruct,llama,3B,small,PENDING,0,-,none,2026-01-31T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/Llama-3.1-8B-Instruct,llama,8B,large,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/Llama-3.1-70B-Instruct,llama,70B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/Llama-3.3-70B-Instruct,llama,70B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/CodeLlama-7b-Instruct-hf,codellama,7B,large,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/CodeLlama-13b-Instruct-hf,codellama,13B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/CodeLlama-34b-Instruct-hf,codellama,34B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
meta-llama/CodeLlama-70b-Instruct-hf,codellama,70B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
mistralai/Mistral-7B-Instruct-v0.3,mistral,7B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:46:42.266097987+00:00,true,true,true,true,,,,,,,false,
mistralai/Mistral-Nemo-Instruct-2407,mistral,12B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
mistralai/Mistral-Small-24B-Instruct-2501,mistral,24B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
mistralai/Codestral-22B-v0.1,mistral-code,22B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
google/gemma-2-2b-it,gemma,2B,small,PENDING,0,-,none,2026-01-31T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/gemma-2-9b-it,gemma2,9B,large,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/gemma-2-27b-it,gemma2,27B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/codegemma-7b-it,codegemma,7B,large,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/gemma-3-1b-it,gemma3,1B,small,PENDING,0,F,none,2026-02-13T01:24:05.930539864+00:00,false,false,false,false,,,,,,,false,
google/gemma-3-4b-it,gemma3,4B,medium,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/gemma-3-12b-it,gemma3,12B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
google/gemma-3-27b-it,gemma3,27B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
microsoft/Phi-3-mini-4k-instruct,phi,3.8B,small,BLOCKED,0,F,dim-smoke,2026-02-15T10:58:37.368621611+00:00,true,true,true,true,,,,,,,false,
microsoft/Phi-3-small-8k-instruct,phi,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
microsoft/Phi-3-medium-4k-instruct,phi,14B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
microsoft/Phi-3.5-mini-instruct,phi,3.8B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:26:53.344702553+00:00,true,true,true,true,,,,,,,false,
microsoft/Phi-4-mini-instruct,phi4,3.8B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:31:05.353929834+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/deepseek-coder-1.3b-instruct,deepseek-coder,1.3B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:01:09.988229553+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-coder,6.7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/deepseek-coder-7b-instruct,deepseek-coder,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/deepseek-coder-33b-instruct,deepseek-coder,33B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,deepseek-coder-v2,16B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,deepseek-r1,1.5B,small,CERTIFIED,1000,A,mvp,2026-02-13T01:23:52.184629806+00:00,false,false,false,false,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-r1,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,deepseek-r1,14B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-r1,32B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-r1,8B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,deepseek-r1,70B,small,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
bigcode/starcoder2-3b,starcoder2,3B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:06:14.476968192+00:00,true,true,true,true,,,,,,,false,
bigcode/starcoder2-7b,starcoder2,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
bigcode/starcoder2-15b,starcoder2,15B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
01-ai/Yi-1.5-6B-Chat,yi,6B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
01-ai/Yi-1.5-9B-Chat,yi,9B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
01-ai/Yi-1.5-34B-Chat,yi,34B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
HuggingFaceTB/SmolLM2-135M-Instruct,smollm,135M,tiny,CERTIFIED,925,B,mvp,2026-02-12T23:16:54.385443469+00:00,false,false,false,false,,,,,,,false,
HuggingFaceTB/SmolLM2-360M-Instruct,smollm,360M,tiny,CERTIFIED,925,B,mvp,2026-02-12T23:33:01.149240214+00:00,false,false,false,false,,,,,,,false,
HuggingFaceTB/SmolLM2-1.7B-Instruct,smollm,1.7B,small,CERTIFIED,925,B,mvp,2026-02-13T02:29:04.581069286+00:00,false,false,false,false,,,,,,,false,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,tinyllama,1.1B,small,CERTIFIED,1000,A,mvp,2026-02-13T00:14:13.810006305+00:00,false,false,false,false,,,,,,,false,
stabilityai/stablelm-2-zephyr-1_6b,stablelm,1.6B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T07:59:31.978066429+00:00,true,true,true,true,,,,,,,false,
stabilityai/stablelm-zephyr-3b,stablelm,3B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:01:43.568126508+00:00,true,true,true,true,,,,,,,false,
tiiuae/falcon-7b-instruct,falcon,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
tiiuae/falcon-40b-instruct,falcon,40B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
internlm/internlm2_5-7b-chat,internlm,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
internlm/internlm2_5-20b-chat,internlm,20B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
ibm-granite/granite-3.1-2b-instruct,granite,2B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:03:50.161469021+00:00,true,true,true,true,,,,,,,false,
ibm-granite/granite-3.1-8b-instruct,granite,8B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
ibm-granite/granite-3b-code-instruct-128k,granite-code,3B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:37:24.169170576+00:00,true,true,true,true,,,,,,,false,
allenai/OLMo-2-1124-7B-Instruct,olmo,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
allenai/OLMo-2-1124-13B-Instruct,olmo,13B,xlarge,CERTIFIED,1000,A+,dim-smoke,2026-03-01T18:30:00+00:00,true,true,true,true,,,,,,,false,
nvidia/Llama-3.1-Nemotron-Nano-4B-v1.1,nemotron,4B,medium,CERTIFIED,1000,A+,dim-smoke,2026-02-16T08:34:40.713808067+00:00,true,true,true,true,,,,,,,false,
nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,nemotron,70B,small,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
NousResearch/Hermes-3-Llama-3.1-8B,hermes,8B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
openchat/openchat-3.5-0106,openchat,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
HuggingFaceH4/zephyr-7b-beta,zephyr,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
cognitivecomputations/dolphin-2.6-mistral-7b,dolphin,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
cognitivecomputations/Dolphin3.0-Llama3.1-8B,dolphin,8B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
lmsys/vicuna-7b-v1.5,vicuna,7B,large,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
lmsys/vicuna-13b-v1.5,vicuna,13B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
teknium/OpenHermes-2.5-Mistral-7B,openhermes,7B,large,CERTIFIED,1000,A+,dim-smoke,2026-03-01T17:57:51+00:00,true,true,true,true,,,,,,,false,
WizardLMTeam/WizardCoder-15B-V1.0,wizardcoder,15B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
WizardLMTeam/WizardCoder-33B-V1.1,wizardcoder,33B,xlarge,PENDING,0,-,none,2026-02-12T00:00:00+00:00,false,false,false,false,,,,,,,false,
Qwen/Qwen2-0.5B-Instruct,qwen2,0.5B,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:00:49.186124966+00:00,true,true,true,true,,,,,,,false,
EleutherAI/pythia-410m-deduped,gpt-neox,410M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:01:11.750703943+00:00,true,true,true,true,,,,,,,false,
microsoft/phi-1_5,phi,1.5B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-15T23:01:13.075562660+00:00,true,true,true,true,,,,,,,false,
bigscience/bloom-560m,bloom,560M,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:19:25.462870665+00:00,true,true,true,true,,,,,,,false,
bigscience/bloomz-560m,bloom,560M,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:37.416761400+00:00,true,true,true,true,,,,,,,false,
distilbert/distilgpt2,gpt2,82M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:36.765650018+00:00,true,true,true,true,,,,,,,false,
facebook/galactica-125m,opt,125M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:20:01.844324248+00:00,true,true,true,true,,,,,,,false,
EleutherAI/gpt-neo-125m,gpt-neo,125M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:19:43.825266209+00:00,true,true,true,true,,,,,,,false,
openai-community/gpt2,gpt2,124M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T09:38:48.603320089+00:00,true,true,true,true,,,,,,,false,
openai-community/gpt2-large,gpt2,774M,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:44:20.965447306+00:00,true,true,true,true,,,,,,,false,
openai-community/gpt2-medium,gpt2,355M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:44:16.196192818+00:00,true,true,true,true,,,,,,,false,
EleutherAI/pythia-160m,gpt-neox,160M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:36.980556807+00:00,true,true,true,true,,,,,,,false,
EleutherAI/pythia-70m,gpt-neox,70M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:36.869780701+00:00,true,true,true,true,,,,,,,false,
HuggingFaceTB/SmolLM-135M,smollm,135M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T09:37:16.206132053+00:00,true,true,true,true,,,,,,,false,
HuggingFaceTB/SmolLM-360M,smollm,360M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:37.088674823+00:00,true,true,true,true,,,,,,,false,
HuggingFaceTB/SmolLM2-135M,smollm2,135M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:37.201478862+00:00,true,true,true,true,,,,,,,false,
HuggingFaceTB/SmolLM2-360M,smollm2,360M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:48:37.310194454+00:00,true,true,true,true,,,,,,,false,
bigcode/tiny_starcoder_py,gpt-bigcode,164M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T11:20:57.325573453+00:00,true,true,true,true,,,,,,,false,
tiiuae/Falcon-H1-Tiny-90M-Instruct,falcon-h1,90M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T12:13:34.249156+00:00,true,true,true,true,,,,,,,false,
tiiuae/Falcon-H1-0.5B-Instruct,falcon-h1,0.5B,small,CERTIFIED,1000,A+,dim-smoke,2026-02-16T12:13:34.249156+00:00,true,true,true,true,,,,,,,false,
state-spaces/mamba-130m-hf,mamba,130M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T12:13:34.249156+00:00,true,true,true,true,,,,,,,false,
AntonV/mamba2-130m-hf,mamba2,130M,tiny,CERTIFIED,1000,A+,dim-smoke,2026-02-16T12:13:34.249156+00:00,true,true,true,true,,,,,,,false,
